close,high,low,open
13.88,14.05,13.77,14.05
13.94,14.13,13.85,13.88
13.49,13.94,13.31,13.94
13.5,13.7,13.33,13.49
13.53,13.63,13.45,13.5
13.35,14.9,12.83,13.53
13.09,13.55,12.85,13.35
12.05,13.1,11.5,13.09
9.26,12.16,8.7,12.05
10.75,11.15,9.27,9.26
9.8,10.99,9.5,10.75
6.55,9.95,5.742,9.8
7.9,9.47,6.01,6.55
7.8,8.16,7.055,7.9
9.99,12.1,7.671,7.8
9.98,10.4,9.5,9.99
9.462,10.5,8.451,9.98
9.461,9.8,8.91,9.462
10.13,10.25,9.28,9.461
10.8,11.24,9.62,10.13
11.15,11.89,10.72,10.8
10.96,11.32,10.81,11.15
10.95,11.1,10.66,10.96
10.83,11.05,10.81,10.95
11.65,11.81,10.83,10.83
11.45,11.69,11.4,11.65
11.31,11.51,11.31,11.45
10.9,11.5,10.51,11.31
10.94,11.3,10.81,10.9
10.85,11.08,10.83,10.94
9.657,10.89,9.1,10.85
8.179,9.889,7.642,9.657
8.59,9.11,8.121,8.179
9.07,9.481,8.448,8.59
8.969,9.27,8.65,9.07
8.791,9,8.55,8.969
8.2,8.79,8.01,8.791
8.21,8.36,8.1,8.2
8.64,8.714,8.23,8.21
8.48,8.69,8.363,8.64
8.178,8.49,7.85,8.48
7.611,8.191,7.25,8.178
6.863,7.657,6.122,7.611
7.186,7.599,6.53,6.863
6.53,7.198,6.512,7.186
5.03,6.577,4.18,6.53
4.774,5.49,4.63,5.03
5.864,7.4,4.6,4.774
6.078,6.582,5.412,5.864
5.8,6.085,5.7,6.078
5.619,5.847,5.325,5.8
4.84,5.619,4.44,5.619
4.82,4.99,4.61,4.84
4.77,4.93,4.7,4.82
5.2,5.6,4.721,4.77
5.46,5.644,4.9,5.2
6.112,6.795,5.451,5.46
5.611,6.287,5.06,6.112
5.428,5.83,5.29,5.611
5.545,5.707,5.415,5.428
5.468,5.641,5.32,5.545
5.33,5.49,5.322,5.468
4.87,5.4,4.721,5.33
4.916,5.13,4.781,4.87
4.772,4.969,4.625,4.916
4.779,4.8,4.674,4.772
5.14,5.35,4.743,4.779
5.032,5.249,4.861,5.14
5.027,5.1,4.91,5.032
5.024,5.04,4.889,5.027
4.96,5.025,4.919,5.024
4.87,5.025,4.831,4.96
4.734,4.9,4.499,4.87
4.273,4.796,3.782,4.734
4.008,4.34,3.825,4.273
4.103,4.389,4.008,4.008
4.1,4.2,4.01,4.103
3.931,4.1,3.85,4.1
4.15,4.45,3.901,3.931
4.046,4.2,4.002,4.15
3.988,4.115,3.948,4.046
3.842,4.05,3.709,3.988
3.557,3.897,3.4,3.842
2.56,3.74,2.26,3.557
2.419,2.9,2.31,2.56
2.27,2.536,2.04,2.419
2.348,2.391,2.22,2.27
2.57,2.72,2.327,2.348
